zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
MAŁYSZEK Leszek,4,1,501,501,1725,12.395,4.841,0.1392
MAŁYSZEK Leszek,4,2,507,1009,1725,12.249,4.899,0.2803
MAŁYSZEK Leszek,4,3,510,1519,1725,12.176,4.928,0.422
MAŁYSZEK Leszek,4,4,505,2025,1725,12.297,4.879,0.5624
MAŁYSZEK Leszek,4,5,503,2528,1725,12.346,4.86,0.7022
MAŁYSZEK Leszek,4,6,509,3038,1725,12.2,4.918,0.8438
MAŁYSZEK Leszek,4,7,508,3546,1725,12.224,4.908,0.9851
MAŁYSZEK Leszek,4,8,525,4072,1725,11.829,5.072,1.1311
MAŁYSZEK Leszek,4,9,514,4587,1725,12.082,4.966,1.2741
MAŁYSZEK Leszek,4,10,508,5095,1725,12.224,4.908,1.4153
MAŁYSZEK Leszek,4,11,523,5618,1725,11.874,5.053,1.5607
MAŁYSZEK Leszek,4,12,511,6130,1725,12.153,4.937,1.7027
MAŁYSZEK Leszek,4,13,511,6641,1725,12.153,4.937,1.8447
MAŁYSZEK Leszek,4,14,504,7145,1725,12.321,4.87,1.9848
MAŁYSZEK Leszek,4,15,507,7653,1725,12.249,4.899,2.1259
MAŁYSZEK Leszek,4,16,507,8161,1725,12.249,4.899,2.267
MAŁYSZEK Leszek,4,17,509,8671,1725,12.2,4.918,2.4085
MAŁYSZEK Leszek,4,18,514,9185,1725,12.082,4.966,2.5514
MAŁYSZEK Leszek,4,19,514,9699,1725,12.082,4.966,2.6942
MAŁYSZEK Leszek,4,20,512,10212,1725,12.129,4.947,2.8366
MAŁYSZEK Leszek,4,21,529,10741,1725,11.739,5.111,2.9836
MAŁYSZEK Leszek,4,22,521,11262,1725,11.919,5.034,3.1284
MAŁYSZEK Leszek,4,23,516,11779,1725,12.035,4.986,3.2719
MAŁYSZEK Leszek,4,24,531,12310,1725,11.695,5.13,3.4196
MAŁYSZEK Leszek,4,25,529,12840,1725,11.739,5.111,3.5666
MAŁYSZEK Leszek,4,26,515,13356,1725,12.058,4.976,3.7099
MAŁYSZEK Leszek,4,27,527,13883,1725,11.784,5.092,3.8564
MAŁYSZEK Leszek,4,28,527,14411,1725,11.784,5.092,4.0031
MAŁYSZEK Leszek,4,29,527,14939,1725,11.784,5.092,4.1497
MAŁYSZEK Leszek,4,30,521,15460,1725,11.919,5.034,4.2945
MAŁYSZEK Leszek,4,31,549,16010,1725,11.311,5.304,4.4472
MAŁYSZEK Leszek,4,32,527,16537,1725,11.784,5.092,4.5937
MAŁYSZEK Leszek,4,33,525,17063,1725,11.829,5.072,4.7397
MAŁYSZEK Leszek,4,34,529,17592,1725,11.739,5.111,4.8866
MAŁYSZEK Leszek,4,35,531,18123,1725,11.695,5.13,5.0342
MAŁYSZEK Leszek,4,36,535,18659,1725,11.607,5.169,5.183
MAŁYSZEK Leszek,4,37,546,19206,1725,11.374,5.275,5.3349
MAŁYSZEK Leszek,4,38,531,19737,1725,11.695,5.13,5.4825
MAŁYSZEK Leszek,4,39,535,20273,1725,11.607,5.169,5.6313
MAŁYSZEK Leszek,4,40,533,20806,1725,11.651,5.15,5.7795
MAŁYSZEK Leszek,4,41,565,21372,1725,10.991,5.459,5.9367
MAŁYSZEK Leszek,4,42,559,21932,1725,11.109,5.401,6.0922
MAŁYSZEK Leszek,4,43,564,22496,1725,11.011,5.449,6.249
MAŁYSZEK Leszek,4,44,596,23093,1725,10.419,5.758,6.4147
MAŁYSZEK Leszek,4,45,534,23628,1725,11.629,5.159,6.5633
MAŁYSZEK Leszek,4,46,547,24175,1725,11.353,5.285,6.7154
MAŁYSZEK Leszek,4,47,550,24726,1725,11.291,5.314,6.8683
MAŁYSZEK Leszek,4,48,535,25262,1725,11.607,5.169,7.0171
MAŁYSZEK Leszek,4,49,527,25790,1725,11.784,5.092,7.1638
MAŁYSZEK Leszek,4,50,547,26337,1725,11.353,5.285,7.3157
MAŁYSZEK Leszek,4,51,540,26877,1725,11.5,5.217,7.4658
MAŁYSZEK Leszek,4,52,547,27424,1725,11.353,5.285,7.6178
MAŁYSZEK Leszek,4,53,557,27981,1725,11.149,5.382,7.7725
MAŁYSZEK Leszek,4,54,570,28552,1725,10.895,5.507,7.9311
MAŁYSZEK Leszek,4,55,605,29157,1725,10.264,5.845,8.0992
MAŁYSZEK Leszek,4,56,555,29713,1725,11.189,5.362,8.2535
MAŁYSZEK Leszek,4,57,535,30248,1725,11.607,5.169,8.4022
MAŁYSZEK Leszek,4,58,534,30782,1725,11.629,5.159,8.5507
MAŁYSZEK Leszek,4,59,545,31328,1725,11.394,5.266,8.7023
MAŁYSZEK Leszek,4,60,579,31907,1725,10.725,5.594,8.8632
MAŁYSZEK Leszek,4,61,570,32477,1725,10.895,5.507,9.0215
MAŁYSZEK Leszek,4,62,614,33092,1725,10.114,5.932,9.1923
MAŁYSZEK Leszek,4,63,566,33659,1725,10.972,5.469,9.3498
MAŁYSZEK Leszek,4,64,571,34230,1725,10.876,5.517,9.5085
MAŁYSZEK Leszek,4,65,595,34826,1725,10.437,5.749,9.6738
MAŁYSZEK Leszek,4,66,621,35447,1725,10.0,6.0,9.8464
MAŁYSZEK Leszek,4,67,576,36023,1725,10.781,5.565,10.0064
MAŁYSZEK Leszek,4,68,587,36611,1725,10.579,5.671,10.1697
MAŁYSZEK Leszek,4,69,559,37171,1725,11.109,5.401,10.3252
MAŁYSZEK Leszek,4,70,546,37717,1725,11.374,5.275,10.4769
MAŁYSZEK Leszek,4,71,543,38260,1725,11.436,5.246,10.6278
MAŁYSZEK Leszek,4,72,547,38808,1725,11.353,5.285,10.78
MAŁYSZEK Leszek,4,73,526,39335,1725,11.806,5.082,10.9264
MAŁYSZEK Leszek,4,74,529,39864,1725,11.739,5.111,11.0734
MAŁYSZEK Leszek,4,75,555,40420,1725,11.189,5.362,11.2278
MAŁYSZEK Leszek,4,76,539,40960,1725,11.521,5.208,11.3778
MAŁYSZEK Leszek,4,77,545,41505,1725,11.394,5.266,11.5292
MAŁYSZEK Leszek,4,78,560,42066,1725,11.089,5.411,11.6849
MAŁYSZEK Leszek,4,79,540,42606,1725,11.5,5.217,11.835
MAŁYSZEK Leszek,4,80,543,43150,1725,11.436,5.246,11.986
MAŁYSZEK Leszek,4,81,652,43802,1725,9.525,6.3,12.1673
MAŁYSZEK Leszek,4,82,567,44370,1725,10.952,5.478,12.3249
MAŁYSZEK Leszek,4,83,562,44933,1725,11.05,5.43,12.4813
MAŁYSZEK Leszek,4,84,760,45693,1725,8.171,7.343,12.6924
MAŁYSZEK Leszek,4,85,579,46272,1725,10.725,5.594,12.8535
MAŁYSZEK Leszek,4,86,612,46885,1725,10.147,5.913,13.0236
MAŁYSZEK Leszek,4,87,594,47480,1725,10.455,5.739,13.1888
MAŁYSZEK Leszek,4,88,601,48081,1725,10.333,5.807,13.356
MAŁYSZEK Leszek,4,89,603,48685,1725,10.299,5.826,13.5237
MAŁYSZEK Leszek,4,90,638,49323,1725,9.734,6.164,13.7009
MAŁYSZEK Leszek,4,91,613,49937,1725,10.131,5.923,13.8714
MAŁYSZEK Leszek,4,92,652,50589,1725,9.525,6.3,14.0526
MAŁYSZEK Leszek,4,93,588,51177,1725,10.561,5.681,14.2159
MAŁYSZEK Leszek,4,94,630,51808,1725,9.857,6.087,14.3911
MAŁYSZEK Leszek,4,95,620,52428,1725,10.016,5.99,14.5634
MAŁYSZEK Leszek,4,96,590,53019,1725,10.525,5.7,14.7274
MAŁYSZEK Leszek,4,97,621,53640,1725,10.0,6.0,14.9001
MAŁYSZEK Leszek,4,98,628,54269,1725,9.889,6.068,15.0747
MAŁYSZEK Leszek,4,99,711,54981,1725,8.734,6.87,15.2724
MAŁYSZEK Leszek,4,100,648,55629,1725,9.583,6.261,15.4525
MAŁYSZEK Leszek,4,101,657,56287,1725,9.452,6.348,15.6352
MAŁYSZEK Leszek,4,102,619,56906,1725,10.032,5.981,15.8073
MAŁYSZEK Leszek,4,103,621,57527,1725,10.0,6.0,15.9798
MAŁYSZEK Leszek,4,104,613,58141,1725,10.131,5.923,16.1502
MAŁYSZEK Leszek,4,105,634,58775,1725,9.795,6.126,16.3265
MAŁYSZEK Leszek,4,106,613,59389,1725,10.131,5.923,16.4969
MAŁYSZEK Leszek,4,107,617,60007,1725,10.065,5.961,16.6685
MAŁYSZEK Leszek,4,108,675,60682,1725,9.2,6.522,16.8561
MAŁYSZEK Leszek,4,109,828,61511,1725,7.5,8.0,17.0863
MAŁYSZEK Leszek,4,110,794,62306,1725,7.821,7.671,17.3071
MAŁYSZEK Leszek,4,111,742,63048,1725,8.369,7.169,17.5132
MAŁYSZEK Leszek,4,112,650,63698,1725,9.554,6.28,17.6938
MAŁYSZEK Leszek,4,113,672,64370,1725,9.241,6.493,17.8807
MAŁYSZEK Leszek,4,114,679,65050,1725,9.146,6.56,18.0695
MAŁYSZEK Leszek,4,115,698,65749,1725,8.897,6.744,18.2635
MAŁYSZEK Leszek,4,116,756,66505,1725,8.214,7.304,18.4737
MAŁYSZEK Leszek,4,117,710,67216,1725,8.746,6.86,18.671
MAŁYSZEK Leszek,4,118,647,67863,1725,9.598,6.251,18.851
MAŁYSZEK Leszek,4,119,609,68473,1725,10.197,5.884,19.0202
MAŁYSZEK Leszek,4,120,611,69084,1725,10.164,5.903,19.1901
MAŁYSZEK Leszek,4,121,686,69771,1725,9.052,6.628,19.3807
MAŁYSZEK Leszek,4,122,750,70521,1725,8.28,7.246,19.5891
