zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
NAPIÓRKOWSKI Mariusz,2,1,551,552,1725,11.27,5.324,0.1532
NAPIÓRKOWSKI Mariusz,2,2,559,1111,1725,11.109,5.401,0.3087
NAPIÓRKOWSKI Mariusz,2,3,555,1667,1725,11.189,5.362,0.4631
NAPIÓRKOWSKI Mariusz,2,4,544,2211,1725,11.415,5.256,0.6143
NAPIÓRKOWSKI Mariusz,2,5,562,2774,1725,11.05,5.43,0.7706
NAPIÓRKOWSKI Mariusz,2,6,567,3342,1725,10.952,5.478,0.9282
NAPIÓRKOWSKI Mariusz,2,7,565,3907,1725,10.991,5.459,1.0854
NAPIÓRKOWSKI Mariusz,2,8,564,4471,1725,11.011,5.449,1.242
NAPIÓRKOWSKI Mariusz,2,9,558,5030,1725,11.129,5.391,1.3972
NAPIÓRKOWSKI Mariusz,2,10,556,5587,1725,11.169,5.372,1.5519
NAPIÓRKOWSKI Mariusz,2,11,562,6149,1725,11.05,5.43,1.7082
NAPIÓRKOWSKI Mariusz,2,12,562,6712,1725,11.05,5.43,1.8644
NAPIÓRKOWSKI Mariusz,2,13,592,7305,1725,10.49,5.72,2.029
NAPIÓRKOWSKI Mariusz,2,14,560,7865,1725,11.089,5.411,2.1848
NAPIÓRKOWSKI Mariusz,2,15,567,8433,1725,10.952,5.478,2.3424
NAPIÓRKOWSKI Mariusz,2,16,571,9004,1725,10.876,5.517,2.5011
NAPIÓRKOWSKI Mariusz,2,17,569,9573,1725,10.914,5.498,2.6591
NAPIÓRKOWSKI Mariusz,2,18,564,10137,1725,11.011,5.449,2.8159
NAPIÓRKOWSKI Mariusz,2,19,567,10705,1725,10.952,5.478,2.9735
NAPIÓRKOWSKI Mariusz,2,20,565,11270,1725,10.991,5.459,3.1305
NAPIÓRKOWSKI Mariusz,2,21,565,11836,1725,10.991,5.459,3.2877
NAPIÓRKOWSKI Mariusz,2,22,566,12403,1725,10.972,5.469,3.4452
NAPIÓRKOWSKI Mariusz,2,23,556,12959,1725,11.169,5.372,3.5996
NAPIÓRKOWSKI Mariusz,2,24,550,13510,1725,11.291,5.314,3.7527
NAPIÓRKOWSKI Mariusz,2,25,572,14082,1725,10.857,5.527,3.9118
NAPIÓRKOWSKI Mariusz,2,26,553,14636,1725,11.23,5.343,4.0655
NAPIÓRKOWSKI Mariusz,2,27,560,15196,1725,11.089,5.411,4.2212
NAPIÓRKOWSKI Mariusz,2,28,542,15739,1725,11.458,5.237,4.3718
