zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
SKROBAŁA Dariusz,10,1,546,546,1725,11.374,5.275,0.1517
SKROBAŁA Dariusz,10,2,553,1099,1725,11.23,5.343,0.3054
SKROBAŁA Dariusz,10,3,551,1650,1725,11.27,5.324,0.4584
SKROBAŁA Dariusz,10,4,608,2259,1725,10.214,5.874,0.6275
SKROBAŁA Dariusz,10,5,551,2810,1725,11.27,5.324,0.7806
SKROBAŁA Dariusz,10,6,554,3364,1725,11.209,5.353,0.9345
SKROBAŁA Dariusz,10,7,563,3928,1725,11.03,5.44,1.0911
SKROBAŁA Dariusz,10,8,548,4477,1725,11.332,5.295,1.2436
SKROBAŁA Dariusz,10,9,550,5027,1725,11.291,5.314,1.3964
SKROBAŁA Dariusz,10,10,545,5573,1725,11.394,5.266,1.548
SKROBAŁA Dariusz,10,11,554,6128,1725,11.209,5.353,1.7021
SKROBAŁA Dariusz,10,12,548,6676,1725,11.332,5.295,1.8545
SKROBAŁA Dariusz,10,13,553,7229,1725,11.23,5.343,2.0081
SKROBAŁA Dariusz,10,14,724,7954,1725,8.577,6.995,2.2095
SKROBAŁA Dariusz,10,15,548,8502,1725,11.332,5.295,2.3618
SKROBAŁA Dariusz,10,16,553,9056,1725,11.23,5.343,2.5155
SKROBAŁA Dariusz,10,17,562,9618,1725,11.05,5.43,2.6716
SKROBAŁA Dariusz,10,18,555,10174,1725,11.189,5.362,2.826
SKROBAŁA Dariusz,10,19,559,10733,1725,11.109,5.401,2.9813
SKROBAŁA Dariusz,10,20,559,11292,1725,11.109,5.401,3.1368
SKROBAŁA Dariusz,10,21,634,11927,1725,9.795,6.126,3.3131
SKROBAŁA Dariusz,10,22,557,12485,1725,11.149,5.382,3.4681
SKROBAŁA Dariusz,10,23,567,13053,1725,10.952,5.478,3.6257
SKROBAŁA Dariusz,10,24,566,13619,1725,10.972,5.469,3.7832
SKROBAŁA Dariusz,10,25,567,14187,1725,10.952,5.478,3.9408
SKROBAŁA Dariusz,10,26,566,14753,1725,10.972,5.469,4.0982
SKROBAŁA Dariusz,10,27,575,15329,1725,10.8,5.556,4.258
SKROBAŁA Dariusz,10,28,573,15903,1725,10.838,5.536,4.4174
SKROBAŁA Dariusz,10,29,896,16799,1725,6.931,8.657,4.6664
SKROBAŁA Dariusz,10,30,579,17378,1725,10.725,5.594,4.8273
SKROBAŁA Dariusz,10,31,581,17960,1725,10.688,5.614,4.9888
SKROBAŁA Dariusz,10,32,572,18532,1725,10.857,5.527,5.1477
SKROBAŁA Dariusz,10,33,620,19152,1725,10.016,5.99,5.3201
SKROBAŁA Dariusz,10,34,586,19739,1725,10.597,5.662,5.4831
