pozycja,imie_nazwisko,kategoria,klub,okrazenia,dystans_km,czas_sumy,participant_id,user_id
1,PIOTROWSKI Marek,M40,Run My Way,150,"259,659",23:47:18,354634,13945
2,NAPIÓRKOWSKI Mariusz,M30,LKS Korab Olecko,148,"256,35224",23:52:54,354631,9267
3,WOŚ Rafal,M50,Stajniak Team,146,"253,59148",23:50:47,354623,
4,MAŁYSZEK Leszek,M40,AZS AWF Katowice,142,"245,22496",23:58:49,354624,
5,SCEGAUSKAS Tadas,M40,Origami Runners,139,"241,02332",23:50:16,354699,
6,BEREZNOWSKA Patrycja,K50,Wieliszew Heron Team Hoka Poland Team,135,"233,0038",23:54:47,354607,
7,VACE-VECVAGARE Sigita,K40,ultrataka.lv,124,"214,96912",23:53:05,354684,
8,SZYSZKOWSKI Marcin,M40,Lipiec Running Team,123,"212,70924",23:56:51,354648,18826
9,SUPERSON Magdalena,K40,WKS Śląsk Wrocław,121,"209,75748",23:52:13,354615,
10,SKROBAŁA Dariusz,M40,KB Sobótka,120,"207,1596",23:59:43,354619,18829
