zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
BEREZNOWSKA Patrycja,6,1,579,580,1725,10.725,5.594,0.1611
BEREZNOWSKA Patrycja,6,2,568,1149,1725,10.933,5.488,0.3191
BEREZNOWSKA Patrycja,6,3,573,1722,1725,10.838,5.536,0.4784
BEREZNOWSKA Patrycja,6,4,573,2295,1725,10.838,5.536,0.6376
BEREZNOWSKA Patrycja,6,5,579,2875,1725,10.725,5.594,0.7987
BEREZNOWSKA Patrycja,6,6,575,3450,1725,10.8,5.556,0.9584
BEREZNOWSKA Patrycja,6,7,569,4020,1725,10.914,5.498,1.1166
BEREZNOWSKA Patrycja,6,8,572,4592,1725,10.857,5.527,1.2756
BEREZNOWSKA Patrycja,6,9,563,5155,1725,11.03,5.44,1.432
BEREZNOWSKA Patrycja,6,10,553,5709,1725,11.23,5.343,1.5858
BEREZNOWSKA Patrycja,6,11,554,6264,1725,11.209,5.353,1.7399
BEREZNOWSKA Patrycja,6,12,560,6824,1725,11.089,5.411,1.8955
BEREZNOWSKA Patrycja,6,13,552,7377,1725,11.25,5.333,2.0491
BEREZNOWSKA Patrycja,6,14,555,7933,1725,11.189,5.362,2.2036
BEREZNOWSKA Patrycja,6,15,560,8493,1725,11.089,5.411,2.3593
BEREZNOWSKA Patrycja,6,16,557,9051,1725,11.149,5.382,2.5142
BEREZNOWSKA Patrycja,6,17,558,9609,1725,11.129,5.391,2.6692
BEREZNOWSKA Patrycja,6,18,552,10162,1725,11.25,5.333,2.8228
BEREZNOWSKA Patrycja,6,19,553,10715,1725,11.23,5.343,2.9765
BEREZNOWSKA Patrycja,6,20,550,11266,1725,11.291,5.314,3.1294
BEREZNOWSKA Patrycja,6,21,556,11822,1725,11.169,5.372,3.2839
BEREZNOWSKA Patrycja,6,22,561,12383,1725,11.07,5.42,3.4398
BEREZNOWSKA Patrycja,6,23,553,12937,1725,11.23,5.343,3.5936
BEREZNOWSKA Patrycja,6,24,551,13488,1725,11.27,5.324,3.7467
BEREZNOWSKA Patrycja,6,25,556,14045,1725,11.169,5.372,3.9014
BEREZNOWSKA Patrycja,6,26,550,14596,1725,11.291,5.314,4.0544
BEREZNOWSKA Patrycja,6,27,556,15153,1725,11.169,5.372,4.2091
BEREZNOWSKA Patrycja,6,28,552,15705,1725,11.25,5.333,4.3625
BEREZNOWSKA Patrycja,6,29,554,16259,1725,11.209,5.353,4.5164
BEREZNOWSKA Patrycja,6,30,554,16814,1725,11.209,5.353,4.6705
BEREZNOWSKA Patrycja,6,31,557,17371,1725,11.149,5.382,4.8252
BEREZNOWSKA Patrycja,6,32,557,17928,1725,11.149,5.382,4.9801
BEREZNOWSKA Patrycja,6,33,551,18480,1725,11.27,5.324,5.1333
BEREZNOWSKA Patrycja,6,34,559,19040,1725,11.109,5.401,5.2888
BEREZNOWSKA Patrycja,6,35,549,19589,1725,11.311,5.304,5.4413
BEREZNOWSKA Patrycja,6,36,548,20137,1725,11.332,5.295,5.5937
BEREZNOWSKA Patrycja,6,37,553,20691,1725,11.23,5.343,5.7475
BEREZNOWSKA Patrycja,6,38,559,21251,1725,11.109,5.401,5.903
BEREZNOWSKA Patrycja,6,39,564,21815,1725,11.011,5.449,6.0598
BEREZNOWSKA Patrycja,6,40,555,22370,1725,11.189,5.362,6.214
BEREZNOWSKA Patrycja,6,41,558,22928,1725,11.129,5.391,6.369
