zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
SCEGAUSKAS Tadas,5,1,512,513,1725,12.129,4.947,0.1425
SCEGAUSKAS Tadas,5,2,504,1018,1725,12.321,4.87,0.2826
SCEGAUSKAS Tadas,5,3,500,1518,1725,12.42,4.831,0.4216
SCEGAUSKAS Tadas,5,4,496,2014,1725,12.52,4.792,0.5594
SCEGAUSKAS Tadas,5,5,499,2514,1725,12.445,4.821,0.6983
SCEGAUSKAS Tadas,5,6,498,3012,1725,12.47,4.812,0.8367
SCEGAUSKAS Tadas,5,7,499,3512,1725,12.445,4.821,0.9754
SCEGAUSKAS Tadas,5,8,500,4012,1725,12.42,4.831,1.1145
SCEGAUSKAS Tadas,5,9,497,4510,1725,12.495,4.802,1.2528
SCEGAUSKAS Tadas,5,10,503,5013,1725,12.346,4.86,1.3926
SCEGAUSKAS Tadas,5,11,500,5514,1725,12.42,4.831,1.5316
SCEGAUSKAS Tadas,5,12,499,6013,1725,12.445,4.821,1.6703
SCEGAUSKAS Tadas,5,13,498,6511,1725,12.47,4.812,1.8087
SCEGAUSKAS Tadas,5,14,494,7006,1725,12.571,4.773,1.9461
SCEGAUSKAS Tadas,5,15,496,7502,1725,12.52,4.792,2.0839
SCEGAUSKAS Tadas,5,16,580,8082,1725,10.707,5.604,2.2451
SCEGAUSKAS Tadas,5,17,485,8568,1725,12.804,4.686,2.3799
SCEGAUSKAS Tadas,5,18,490,9058,1725,12.673,4.734,2.5162
SCEGAUSKAS Tadas,5,19,502,9561,1725,12.371,4.85,2.6558
SCEGAUSKAS Tadas,5,20,499,10060,1725,12.445,4.821,2.7944
SCEGAUSKAS Tadas,5,21,501,10561,1725,12.395,4.841,2.9337
SCEGAUSKAS Tadas,5,22,501,11063,1725,12.395,4.841,3.073
SCEGAUSKAS Tadas,5,23,496,11559,1725,12.52,4.792,3.2108
SCEGAUSKAS Tadas,5,24,493,12052,1725,12.596,4.763,3.3479
SCEGAUSKAS Tadas,5,25,500,12553,1725,12.42,4.831,3.4868
SCEGAUSKAS Tadas,5,26,502,13055,1725,12.371,4.85,3.6264
SCEGAUSKAS Tadas,5,27,497,13553,1725,12.495,4.802,3.7647
SCEGAUSKAS Tadas,5,28,501,14055,1725,12.395,4.841,3.904
SCEGAUSKAS Tadas,5,29,504,14559,1725,12.321,4.87,4.0441
SCEGAUSKAS Tadas,5,30,506,15065,1725,12.273,4.889,4.1846
SCEGAUSKAS Tadas,5,31,494,15559,1725,12.571,4.773,4.322
SCEGAUSKAS Tadas,5,32,491,16051,1725,12.648,4.744,4.4587
SCEGAUSKAS Tadas,5,33,506,16558,1725,12.273,4.889,4.5994
SCEGAUSKAS Tadas,5,34,503,17061,1725,12.346,4.86,4.7393
SCEGAUSKAS Tadas,5,35,508,17570,1725,12.224,4.908,4.8804
SCEGAUSKAS Tadas,5,36,496,18066,1725,12.52,4.792,5.0184
SCEGAUSKAS Tadas,5,37,499,18566,1725,12.445,4.821,5.1572
SCEGAUSKAS Tadas,5,38,501,19067,1725,12.395,4.841,5.2965
SCEGAUSKAS Tadas,5,39,504,19572,1725,12.321,4.87,5.4367
SCEGAUSKAS Tadas,5,40,510,20082,1725,12.176,4.928,5.5783
SCEGAUSKAS Tadas,5,41,508,20591,1725,12.224,4.908,5.7196
SCEGAUSKAS Tadas,5,42,510,21101,1725,12.176,4.928,5.8614
SCEGAUSKAS Tadas,5,43,515,21617,1725,12.058,4.976,6.0047
SCEGAUSKAS Tadas,5,44,508,22125,1725,12.224,4.908,6.146
SCEGAUSKAS Tadas,5,45,522,22648,1725,11.897,5.043,6.2911
SCEGAUSKAS Tadas,5,46,512,23160,1725,12.129,4.947,6.4334
SCEGAUSKAS Tadas,5,47,494,23655,1725,12.571,4.773,6.5709
SCEGAUSKAS Tadas,5,48,500,24156,1725,12.42,4.831,6.71
SCEGAUSKAS Tadas,5,49,493,24649,1725,12.596,4.763,6.8471
SCEGAUSKAS Tadas,5,50,495,25145,1725,12.545,4.783,6.9846
SCEGAUSKAS Tadas,5,51,500,25645,1725,12.42,4.831,7.1236
SCEGAUSKAS Tadas,5,52,498,26143,1725,12.47,4.812,7.262
SCEGAUSKAS Tadas,5,53,494,26638,1725,12.571,4.773,7.3995
SCEGAUSKAS Tadas,5,54,501,27140,1725,12.395,4.841,7.5388
SCEGAUSKAS Tadas,5,55,501,27642,1725,12.395,4.841,7.6782
SCEGAUSKAS Tadas,5,56,499,28141,1725,12.445,4.821,7.8171
SCEGAUSKAS Tadas,5,57,509,28651,1725,12.2,4.918,7.9586
SCEGAUSKAS Tadas,5,58,506,29157,1725,12.273,4.889,8.0993
SCEGAUSKAS Tadas,5,59,512,29670,1725,12.129,4.947,8.2417
SCEGAUSKAS Tadas,5,60,519,30189,1725,11.965,5.014,8.3859
SCEGAUSKAS Tadas,5,61,514,30704,1725,12.082,4.966,8.5288
SCEGAUSKAS Tadas,5,62,493,31197,1725,12.596,4.763,8.6657
SCEGAUSKAS Tadas,5,63,493,31690,1725,12.596,4.763,8.8028
SCEGAUSKAS Tadas,5,64,497,32187,1725,12.495,4.802,8.941
SCEGAUSKAS Tadas,5,65,499,32687,1725,12.445,4.821,9.0799
SCEGAUSKAS Tadas,5,66,519,33207,1725,11.965,5.014,9.2243
SCEGAUSKAS Tadas,5,67,516,33724,1725,12.035,4.986,9.3676
SCEGAUSKAS Tadas,5,68,504,34228,1725,12.321,4.87,9.5077
SCEGAUSKAS Tadas,5,69,502,34730,1725,12.371,4.85,9.6473
SCEGAUSKAS Tadas,5,70,507,35238,1725,12.249,4.899,9.7883
SCEGAUSKAS Tadas,5,71,497,35735,1725,12.495,4.802,9.9264
SCEGAUSKAS Tadas,5,72,500,36236,1725,12.42,4.831,10.0655
SCEGAUSKAS Tadas,5,73,505,36741,1725,12.297,4.879,10.2059
SCEGAUSKAS Tadas,5,74,523,37265,1725,11.874,5.053,10.3514
SCEGAUSKAS Tadas,5,75,505,37770,1725,12.297,4.879,10.4917
SCEGAUSKAS Tadas,5,76,509,38280,1725,12.2,4.918,10.6332
SCEGAUSKAS Tadas,5,77,523,38803,1725,11.874,5.053,10.7787
SCEGAUSKAS Tadas,5,78,531,39335,1725,11.695,5.13,10.9263
SCEGAUSKAS Tadas,5,79,518,39853,1725,11.988,5.005,11.0703
SCEGAUSKAS Tadas,5,80,511,40364,1725,12.153,4.937,11.2123
SCEGAUSKAS Tadas,5,81,551,40916,1725,11.27,5.324,11.3655
SCEGAUSKAS Tadas,5,82,509,41426,1725,12.2,4.918,11.5072
SCEGAUSKAS Tadas,5,83,516,41942,1725,12.035,4.986,11.6507
SCEGAUSKAS Tadas,5,84,524,42467,1725,11.851,5.063,11.7963
SCEGAUSKAS Tadas,5,85,519,42986,1725,11.965,5.014,11.9406
SCEGAUSKAS Tadas,5,86,585,43572,1725,10.615,5.652,12.1033
SCEGAUSKAS Tadas,5,87,566,44139,1725,10.972,5.469,12.2608
SCEGAUSKAS Tadas,5,88,561,44700,1725,11.07,5.42,12.4168
