zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
SUPERSON Magdalena,9,1,538,539,1725,11.543,5.198,0.1496
SUPERSON Magdalena,9,2,546,1085,1725,11.374,5.275,0.3013
SUPERSON Magdalena,9,3,544,1629,1725,11.415,5.256,0.4526
SUPERSON Magdalena,9,4,546,2176,1725,11.374,5.275,0.6045
SUPERSON Magdalena,9,5,547,2723,1725,11.353,5.285,0.7565
SUPERSON Magdalena,9,6,545,3269,1725,11.394,5.266,0.9081
SUPERSON Magdalena,9,7,551,3820,1725,11.27,5.324,1.0612
SUPERSON Magdalena,9,8,545,4366,1725,11.394,5.266,1.2127
SUPERSON Magdalena,9,9,544,4911,1725,11.415,5.256,1.3641
SUPERSON Magdalena,9,10,549,5460,1725,11.311,5.304,1.5166
SUPERSON Magdalena,9,11,541,6002,1725,11.479,5.227,1.6671
SUPERSON Magdalena,9,12,545,6547,1725,11.394,5.266,1.8186
SUPERSON Magdalena,9,13,533,7081,1725,11.651,5.15,1.9668
SUPERSON Magdalena,9,14,552,7633,1725,11.25,5.333,2.1202
SUPERSON Magdalena,9,15,529,8162,1725,11.739,5.111,2.2672
SUPERSON Magdalena,9,16,548,8711,1725,11.332,5.295,2.4196
SUPERSON Magdalena,9,17,531,9242,1725,11.695,5.13,2.5673
SUPERSON Magdalena,9,18,541,9783,1725,11.479,5.227,2.7176
SUPERSON Magdalena,9,19,562,10346,1725,11.05,5.43,2.874
SUPERSON Magdalena,9,20,529,10876,1725,11.739,5.111,3.021
SUPERSON Magdalena,9,21,542,11418,1725,11.458,5.237,3.1717
SUPERSON Magdalena,9,22,553,11972,1725,11.23,5.343,3.3254
SUPERSON Magdalena,9,23,550,12522,1725,11.291,5.314,3.4783
SUPERSON Magdalena,9,24,558,13080,1725,11.129,5.391,3.6333
SUPERSON Magdalena,9,25,572,13653,1725,10.857,5.527,3.7925
SUPERSON Magdalena,9,26,551,14205,1725,11.27,5.324,3.9458
SUPERSON Magdalena,9,27,572,14777,1725,10.857,5.527,4.1048
SUPERSON Magdalena,9,28,567,15345,1725,10.952,5.478,4.2624
SUPERSON Magdalena,9,29,573,15918,1725,10.838,5.536,4.4216
SUPERSON Magdalena,9,30,591,16509,1725,10.508,5.71,4.5859
SUPERSON Magdalena,9,31,566,17076,1725,10.972,5.469,4.7433
SUPERSON Magdalena,9,32,584,17661,1725,10.634,5.643,4.9057
SUPERSON Magdalena,9,33,635,18296,1725,9.78,6.135,5.0823
SUPERSON Magdalena,9,34,582,18879,1725,10.67,5.623,5.2441
SUPERSON Magdalena,9,35,564,19443,1725,11.011,5.449,5.4009
SUPERSON Magdalena,9,36,528,19972,1725,11.761,5.101,5.5478
SUPERSON Magdalena,9,37,556,20529,1725,11.169,5.372,5.7025
SUPERSON Magdalena,9,38,586,21115,1725,10.597,5.662,5.8654
SUPERSON Magdalena,9,39,593,21709,1725,10.472,5.729,6.0302
SUPERSON Magdalena,9,40,593,22302,1725,10.472,5.729,6.1951
SUPERSON Magdalena,9,41,593,22896,1725,10.472,5.729,6.3599
SUPERSON Magdalena,9,42,584,23480,1725,10.634,5.643,6.5223
SUPERSON Magdalena,9,43,555,24036,1725,11.189,5.362,6.6766
SUPERSON Magdalena,9,44,557,24593,1725,11.149,5.382,6.8315
SUPERSON Magdalena,9,45,546,25140,1725,11.374,5.275,6.9832
SUPERSON Magdalena,9,46,734,25874,1725,8.46,7.092,7.1872
SUPERSON Magdalena,9,47,695,26569,1725,8.935,6.715,7.3803
SUPERSON Magdalena,9,48,763,27333,1725,8.139,7.372,7.5925
SUPERSON Magdalena,9,49,756,28089,1725,8.214,7.304,7.8025
SUPERSON Magdalena,9,50,733,28822,1725,8.472,7.082,8.0062
SUPERSON Magdalena,9,51,667,29490,1725,9.31,6.444,8.1917
SUPERSON Magdalena,9,52,684,30175,1725,9.079,6.609,8.3819
SUPERSON Magdalena,9,53,745,30920,1725,8.336,7.198,8.589
SUPERSON Magdalena,9,54,608,31529,1725,10.214,5.874,8.758
SUPERSON Magdalena,9,55,651,32180,1725,9.539,6.29,8.9389
SUPERSON Magdalena,9,56,663,32844,1725,9.367,6.406,9.1232
SUPERSON Magdalena,9,57,721,33565,1725,8.613,6.966,9.3237
SUPERSON Magdalena,9,58,606,34172,1725,10.248,5.855,9.4921
SUPERSON Magdalena,9,59,587,34759,1725,10.579,5.671,9.6552
SUPERSON Magdalena,9,60,538,35298,1725,11.543,5.198,9.8049
SUPERSON Magdalena,9,61,528,35826,1725,11.761,5.101,9.9518
SUPERSON Magdalena,9,62,554,36381,1725,11.209,5.353,10.1059
SUPERSON Magdalena,9,63,573,36954,1725,10.838,5.536,10.2651
SUPERSON Magdalena,9,64,640,37595,1725,9.703,6.184,10.4431
SUPERSON Magdalena,9,65,738,38334,1725,8.415,7.13,10.6484
SUPERSON Magdalena,9,66,852,39187,1725,7.289,8.232,10.8852
SUPERSON Magdalena,9,67,747,39934,1725,8.313,7.217,11.0928
SUPERSON Magdalena,9,68,856,40790,1725,7.255,8.271,11.3306
SUPERSON Magdalena,9,69,659,41449,1725,9.423,6.367,11.5137
SUPERSON Magdalena,9,70,679,42129,1725,9.146,6.56,11.7026
SUPERSON Magdalena,9,71,676,42805,1725,9.186,6.531,11.8904
SUPERSON Magdalena,9,72,814,43620,1725,7.629,7.865,12.1167
SUPERSON Magdalena,9,73,773,44393,1725,8.034,7.469,12.3315
SUPERSON Magdalena,9,74,775,45169,1725,8.013,7.488,12.547
SUPERSON Magdalena,9,75,776,45945,1725,8.003,7.498,12.7626
SUPERSON Magdalena,9,76,898,46844,1725,6.915,8.676,13.0122
SUPERSON Magdalena,9,77,944,47788,1725,6.578,9.121,13.2745
SUPERSON Magdalena,9,78,886,48675,1725,7.009,8.56,13.5209
SUPERSON Magdalena,9,79,824,49499,1725,7.536,7.961,13.7498
SUPERSON Magdalena,9,80,583,50083,1725,10.652,5.633,13.9119
SUPERSON Magdalena,9,81,608,50691,1725,10.214,5.874,14.0809
SUPERSON Magdalena,9,82,588,51280,1725,10.561,5.681,14.2445
SUPERSON Magdalena,9,83,619,51900,1725,10.032,5.981,14.4166
SUPERSON Magdalena,9,84,627,52527,1725,9.904,6.058,14.5908
SUPERSON Magdalena,9,85,725,53252,1725,8.566,7.005,14.7923
SUPERSON Magdalena,9,86,629,53882,1725,9.873,6.077,14.9672
SUPERSON Magdalena,9,87,633,54516,1725,9.81,6.116,15.1432
SUPERSON Magdalena,9,88,715,55231,1725,8.685,6.908,15.342
SUPERSON Magdalena,9,89,806,56038,1725,7.705,7.787,15.566
SUPERSON Magdalena,9,90,856,56894,1725,7.255,8.271,15.804
SUPERSON Magdalena,9,91,763,57658,1725,8.139,7.372,16.0162
SUPERSON Magdalena,9,92,772,58431,1725,8.044,7.459,16.2309
SUPERSON Magdalena,9,93,875,59307,1725,7.097,8.454,16.4741
SUPERSON Magdalena,9,94,1016,60323,1725,6.112,9.816,16.7565
SUPERSON Magdalena,9,95,933,61257,1725,6.656,9.014,17.0158
SUPERSON Magdalena,9,96,1229,62486,1725,5.053,11.874,17.3573
SUPERSON Magdalena,9,97,991,63478,1725,6.266,9.575,17.6328
SUPERSON Magdalena,9,98,993,64471,1725,6.254,9.594,17.9087
SUPERSON Magdalena,9,99,977,65449,1725,6.356,9.44,18.1804
SUPERSON Magdalena,9,100,823,66273,1725,7.546,7.952,18.4091
SUPERSON Magdalena,9,101,825,67098,1725,7.527,7.971,18.6384
SUPERSON Magdalena,9,102,958,68057,1725,6.482,9.256,18.9047
SUPERSON Magdalena,9,103,924,68981,1725,6.721,8.928,19.1615
SUPERSON Magdalena,9,104,1259,70241,1725,4.932,12.164,19.5115
SUPERSON Magdalena,9,105,1184,71425,1725,5.245,11.44,19.8404
SUPERSON Magdalena,9,106,1156,72582,1725,5.372,11.169,20.1617
SUPERSON Magdalena,9,107,1182,73765,1725,5.254,11.42,20.4902
SUPERSON Magdalena,9,108,994,74759,1725,6.247,9.604,20.7665
SUPERSON Magdalena,9,109,968,75728,1725,6.415,9.353,21.0355
SUPERSON Magdalena,9,110,886,76615,1725,7.009,8.56,21.2818
SUPERSON Magdalena,9,111,817,77432,1725,7.601,7.894,21.5089
SUPERSON Magdalena,9,112,801,78234,1725,7.753,7.739,21.7316
SUPERSON Magdalena,9,113,791,79025,1725,7.851,7.643,21.9514
SUPERSON Magdalena,9,114,801,79827,1725,7.753,7.739,22.1742
SUPERSON Magdalena,9,115,862,80690,1725,7.204,8.329,22.4138
SUPERSON Magdalena,9,116,893,81583,1725,6.954,8.628,22.662
SUPERSON Magdalena,9,117,912,82496,1725,6.809,8.812,22.9155
SUPERSON Magdalena,9,118,781,83277,1725,7.951,7.546,23.1326
SUPERSON Magdalena,9,119,741,84019,1725,8.381,7.159,23.3385
SUPERSON Magdalena,9,120,971,84990,1725,6.395,9.382,23.6084
SUPERSON Magdalena,9,121,943,85933,1725,6.585,9.111,23.8704
