zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
SZYSZKOWSKI Marcin,8,1,605,605,1725,10.264,5.845,0.1681
SZYSZKOWSKI Marcin,8,2,591,1197,1725,10.508,5.71,0.3325
SZYSZKOWSKI Marcin,8,3,587,1784,1725,10.579,5.671,0.4957
SZYSZKOWSKI Marcin,8,4,589,2374,1725,10.543,5.691,0.6595
SZYSZKOWSKI Marcin,8,5,596,2971,1725,10.419,5.758,0.8251
SZYSZKOWSKI Marcin,8,6,591,3562,1725,10.508,5.71,0.9894
SZYSZKOWSKI Marcin,8,7,596,4158,1725,10.419,5.758,1.1551
SZYSZKOWSKI Marcin,8,8,585,4744,1725,10.615,5.652,1.3178
SZYSZKOWSKI Marcin,8,9,593,5338,1725,10.472,5.729,1.4828
SZYSZKOWSKI Marcin,8,10,605,5944,1725,10.264,5.845,1.6511
SZYSZKOWSKI Marcin,8,11,564,6509,1725,11.011,5.449,1.8081
SZYSZKOWSKI Marcin,8,12,604,7114,1725,10.281,5.836,1.9761
SZYSZKOWSKI Marcin,8,13,593,7708,1725,10.472,5.729,2.141
SZYSZKOWSKI Marcin,8,14,587,8295,1725,10.579,5.671,2.3042
SZYSZKOWSKI Marcin,8,15,600,8895,1725,10.35,5.797,2.4709
SZYSZKOWSKI Marcin,8,16,590,9486,1725,10.525,5.7,2.6349
SZYSZKOWSKI Marcin,8,17,591,10077,1725,10.508,5.71,2.7993
SZYSZKOWSKI Marcin,8,18,597,10675,1725,10.402,5.768,2.9653
SZYSZKOWSKI Marcin,8,19,586,11261,1725,10.597,5.662,3.1281
SZYSZKOWSKI Marcin,8,20,581,11843,1725,10.688,5.614,3.2896
SZYSZKOWSKI Marcin,8,21,590,12434,1725,10.525,5.7,3.4538
SZYSZKOWSKI Marcin,8,22,597,13031,1725,10.402,5.768,3.6197
SZYSZKOWSKI Marcin,8,23,603,13634,1725,10.299,5.826,3.7873
SZYSZKOWSKI Marcin,8,24,688,14323,1725,9.026,6.647,3.9785
SZYSZKOWSKI Marcin,8,25,597,14920,1725,10.402,5.768,4.1444
SZYSZKOWSKI Marcin,8,26,588,15508,1725,10.561,5.681,4.3079
SZYSZKOWSKI Marcin,8,27,600,16109,1725,10.35,5.797,4.4746
SZYSZKOWSKI Marcin,8,28,587,16696,1725,10.579,5.671,4.6377
SZYSZKOWSKI Marcin,8,29,587,17283,1725,10.579,5.671,4.8009
SZYSZKOWSKI Marcin,8,30,603,17887,1725,10.299,5.826,4.9686
SZYSZKOWSKI Marcin,8,31,686,18574,1725,9.052,6.628,5.1594
SZYSZKOWSKI Marcin,8,32,608,19182,1725,10.214,5.874,5.3284
SZYSZKOWSKI Marcin,8,33,605,19788,1725,10.264,5.845,5.4967
SZYSZKOWSKI Marcin,8,34,598,20386,1725,10.385,5.778,5.6629
SZYSZKOWSKI Marcin,8,35,590,20977,1725,10.525,5.7,5.8269
SZYSZKOWSKI Marcin,8,36,594,21571,1725,10.455,5.739,5.992
SZYSZKOWSKI Marcin,8,37,606,22178,1725,10.248,5.855,6.1605
SZYSZKOWSKI Marcin,8,38,606,22785,1725,10.248,5.855,6.3291
SZYSZKOWSKI Marcin,8,39,597,23382,1725,10.402,5.768,6.495
SZYSZKOWSKI Marcin,8,40,602,23985,1725,10.316,5.816,6.6624
SZYSZKOWSKI Marcin,8,41,688,24673,1725,9.026,6.647,6.8535
SZYSZKOWSKI Marcin,8,42,603,25276,1725,10.299,5.826,7.0211
SZYSZKOWSKI Marcin,8,43,602,25878,1725,10.316,5.816,7.1884
SZYSZKOWSKI Marcin,8,44,597,26475,1725,10.402,5.768,7.3543
SZYSZKOWSKI Marcin,8,45,602,27077,1725,10.316,5.816,7.5215
SZYSZKOWSKI Marcin,8,46,612,27690,1725,10.147,5.913,7.6917
SZYSZKOWSKI Marcin,8,47,605,28295,1725,10.264,5.845,7.8598
SZYSZKOWSKI Marcin,8,48,598,28893,1725,10.385,5.778,8.026
SZYSZKOWSKI Marcin,8,49,610,29504,1725,10.18,5.894,8.1956
SZYSZKOWSKI Marcin,8,50,610,30115,1725,10.18,5.894,8.3653
SZYSZKOWSKI Marcin,8,51,594,30709,1725,10.455,5.739,8.5303
SZYSZKOWSKI Marcin,8,52,624,31333,1725,9.952,6.029,8.7037
SZYSZKOWSKI Marcin,8,53,623,31957,1725,9.968,6.019,8.8769
SZYSZKOWSKI Marcin,8,54,723,32680,1725,8.589,6.986,9.0778
SZYSZKOWSKI Marcin,8,55,627,33307,1725,9.904,6.058,9.252
SZYSZKOWSKI Marcin,8,56,638,33946,1725,9.734,6.164,9.4294
SZYSZKOWSKI Marcin,8,57,631,34578,1725,9.842,6.097,9.605
SZYSZKOWSKI Marcin,8,58,687,35265,1725,9.039,6.638,9.7959
SZYSZKOWSKI Marcin,8,59,660,35926,1725,9.409,6.377,9.9794
