zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
PIOTROWSKI Marek,1,1,540,540,1725,11.5,5.217,0.15
PIOTROWSKI Marek,1,2,527,1067,1725,11.784,5.092,0.2965
PIOTROWSKI Marek,1,3,526,1594,1725,11.806,5.082,0.4427
PIOTROWSKI Marek,1,4,514,2108,1725,12.082,4.966,0.5856
PIOTROWSKI Marek,1,5,520,2629,1725,11.942,5.024,0.7303
PIOTROWSKI Marek,1,6,508,3137,1725,12.224,4.908,0.8715
PIOTROWSKI Marek,1,7,515,3653,1725,12.058,4.976,1.0147
PIOTROWSKI Marek,1,8,512,4165,1725,12.129,4.947,1.157
PIOTROWSKI Marek,1,9,505,4671,1725,12.297,4.879,1.2974
PIOTROWSKI Marek,1,10,501,5172,1725,12.395,4.841,1.4368
PIOTROWSKI Marek,1,11,576,5749,1725,10.781,5.565,1.597
PIOTROWSKI Marek,1,12,502,6252,1725,12.371,4.85,1.7365
PIOTROWSKI Marek,1,13,506,6758,1725,12.273,4.889,1.8772
PIOTROWSKI Marek,1,14,505,7264,1725,12.297,4.879,2.0177
PIOTROWSKI Marek,1,15,506,7770,1725,12.273,4.889,2.1584
PIOTROWSKI Marek,1,16,497,8268,1725,12.495,4.802,2.2967
PIOTROWSKI Marek,1,17,502,8770,1725,12.371,4.85,2.4362
PIOTROWSKI Marek,1,18,499,9269,1725,12.445,4.821,2.5748
PIOTROWSKI Marek,1,19,513,9783,1725,12.105,4.957,2.7176
PIOTROWSKI Marek,1,20,504,10287,1725,12.321,4.87,2.8576
PIOTROWSKI Marek,1,21,513,10801,1725,12.105,4.957,3.0002
PIOTROWSKI Marek,1,22,518,11319,1725,11.988,5.005,3.1442
PIOTROWSKI Marek,1,23,525,11844,1725,11.829,5.072,3.2901
PIOTROWSKI Marek,1,24,527,12372,1725,11.784,5.092,3.4365
PIOTROWSKI Marek,1,25,521,12893,1725,11.919,5.034,3.5814
PIOTROWSKI Marek,1,26,527,13420,1725,11.784,5.092,3.7278
PIOTROWSKI Marek,1,27,526,13947,1725,11.806,5.082,3.8741
PIOTROWSKI Marek,1,28,524,14471,1725,11.851,5.063,4.0197
PIOTROWSKI Marek,1,29,526,14998,1725,11.806,5.082,4.166
PIOTROWSKI Marek,1,30,520,15518,1725,11.942,5.024,4.3107
PIOTROWSKI Marek,1,31,535,16054,1725,11.607,5.169,4.4595
PIOTROWSKI Marek,1,32,532,16586,1725,11.673,5.14,4.6073
PIOTROWSKI Marek,1,33,524,17111,1725,11.851,5.063,4.753
PIOTROWSKI Marek,1,34,557,17668,1725,11.149,5.382,4.9079
PIOTROWSKI Marek,1,35,529,18198,1725,11.739,5.111,5.055
PIOTROWSKI Marek,1,36,533,18731,1725,11.651,5.15,5.2031
PIOTROWSKI Marek,1,37,529,19261,1725,11.739,5.111,5.3503
PIOTROWSKI Marek,1,38,531,19792,1725,11.695,5.13,5.4979
PIOTROWSKI Marek,1,39,526,20319,1725,11.806,5.082,5.6443
PIOTROWSKI Marek,1,40,531,20850,1725,11.695,5.13,5.7918
PIOTROWSKI Marek,1,41,523,21374,1725,11.874,5.053,5.9371
PIOTROWSKI Marek,1,42,644,22018,1725,9.643,6.222,6.1161
PIOTROWSKI Marek,1,43,550,22568,1725,11.291,5.314,6.2689
PIOTROWSKI Marek,1,44,548,23116,1725,11.332,5.295,6.4212
PIOTROWSKI Marek,1,45,541,23658,1725,11.479,5.227,6.5717
PIOTROWSKI Marek,1,46,534,24193,1725,11.629,5.159,6.7203
PIOTROWSKI Marek,1,47,536,24730,1725,11.586,5.179,6.8694
PIOTROWSKI Marek,1,48,540,25270,1725,11.5,5.217,7.0195
PIOTROWSKI Marek,1,49,530,25801,1725,11.717,5.121,7.1669
PIOTROWSKI Marek,1,50,535,26336,1725,11.607,5.169,7.3156
PIOTROWSKI Marek,1,51,548,26885,1725,11.332,5.295,7.468
PIOTROWSKI Marek,1,52,550,27435,1725,11.291,5.314,7.6209
PIOTROWSKI Marek,1,53,548,27984,1725,11.332,5.295,7.7733
PIOTROWSKI Marek,1,54,547,28531,1725,11.353,5.285,7.9252
PIOTROWSKI Marek,1,55,536,29067,1725,11.586,5.179,8.0743
PIOTROWSKI Marek,1,56,530,29598,1725,11.717,5.121,8.2215
PIOTROWSKI Marek,1,57,543,30141,1725,11.436,5.246,8.3725
PIOTROWSKI Marek,1,58,557,30698,1725,11.149,5.382,8.5273
PIOTROWSKI Marek,1,59,539,31238,1725,11.521,5.208,8.6771
PIOTROWSKI Marek,1,60,544,31782,1725,11.415,5.256,8.8284
PIOTROWSKI Marek,1,61,551,32334,1725,11.27,5.324,8.9817
PIOTROWSKI Marek,1,62,552,32887,1725,11.25,5.333,9.1352
PIOTROWSKI Marek,1,63,731,33618,1725,8.495,7.063,9.3383
PIOTROWSKI Marek,1,64,537,34155,1725,11.564,5.188,9.4875
PIOTROWSKI Marek,1,65,532,34688,1725,11.673,5.14,9.6355
PIOTROWSKI Marek,1,66,532,35220,1725,11.673,5.14,9.7834
PIOTROWSKI Marek,1,67,530,35751,1725,11.717,5.121,9.9308
PIOTROWSKI Marek,1,68,532,36283,1725,11.673,5.14,10.0786
PIOTROWSKI Marek,1,69,536,36819,1725,11.586,5.179,10.2276
PIOTROWSKI Marek,1,70,529,37349,1725,11.739,5.111,10.3746
PIOTROWSKI Marek,1,71,532,37881,1725,11.673,5.14,10.5224
PIOTROWSKI Marek,1,72,537,38418,1725,11.564,5.188,10.6717
PIOTROWSKI Marek,1,73,544,38963,1725,11.415,5.256,10.823
PIOTROWSKI Marek,1,74,532,39495,1725,11.673,5.14,10.9708
PIOTROWSKI Marek,1,75,542,40037,1725,11.458,5.237,11.1215
PIOTROWSKI Marek,1,76,548,40586,1725,11.332,5.295,11.2739
PIOTROWSKI Marek,1,77,532,41119,1725,11.673,5.14,11.4219
PIOTROWSKI Marek,1,78,546,41665,1725,11.374,5.275,11.5736
PIOTROWSKI Marek,1,79,549,42215,1725,11.311,5.304,11.7264
PIOTROWSKI Marek,1,80,543,42759,1725,11.436,5.246,11.8774
PIOTROWSKI Marek,1,81,538,43297,1725,11.543,5.198,12.027
PIOTROWSKI Marek,1,82,544,43841,1725,11.415,5.256,12.1782
PIOTROWSKI Marek,1,83,538,44380,1725,11.543,5.198,12.3278
PIOTROWSKI Marek,1,84,541,44922,1725,11.479,5.227,12.4782
PIOTROWSKI Marek,1,85,537,45460,1725,11.564,5.188,12.6276
PIOTROWSKI Marek,1,86,573,46033,1725,10.838,5.536,12.787
PIOTROWSKI Marek,1,87,544,46578,1725,11.415,5.256,12.9383
PIOTROWSKI Marek,1,88,544,47122,1725,11.415,5.256,13.0895
PIOTROWSKI Marek,1,89,540,47662,1725,11.5,5.217,13.2395
PIOTROWSKI Marek,1,90,559,48222,1725,11.109,5.401,13.395
PIOTROWSKI Marek,1,91,557,48780,1725,11.149,5.382,13.55
PIOTROWSKI Marek,1,92,555,49335,1725,11.189,5.362,13.7042
PIOTROWSKI Marek,1,93,564,49899,1725,11.011,5.449,13.8609
PIOTROWSKI Marek,1,94,562,50462,1725,11.05,5.43,14.0171
PIOTROWSKI Marek,1,95,546,51008,1725,11.374,5.275,14.169
PIOTROWSKI Marek,1,96,727,51735,1725,8.542,7.024,14.3709
PIOTROWSKI Marek,1,97,557,52293,1725,11.149,5.382,14.5259
PIOTROWSKI Marek,1,98,557,52851,1725,11.149,5.382,14.6807
PIOTROWSKI Marek,1,99,544,53395,1725,11.415,5.256,14.832
PIOTROWSKI Marek,1,100,554,53950,1725,11.209,5.353,14.9861
PIOTROWSKI Marek,1,101,533,54483,1725,11.651,5.15,15.1343
PIOTROWSKI Marek,1,102,543,55027,1725,11.436,5.246,15.2852
PIOTROWSKI Marek,1,103,543,55571,1725,11.436,5.246,15.4363
PIOTROWSKI Marek,1,104,571,56142,1725,10.876,5.517,15.5949
PIOTROWSKI Marek,1,105,639,56781,1725,9.718,6.174,15.7725
PIOTROWSKI Marek,1,106,825,57607,1725,7.527,7.971,16.0018
PIOTROWSKI Marek,1,107,559,58166,1725,11.109,5.401,16.1572
PIOTROWSKI Marek,1,108,560,58727,1725,11.089,5.411,16.3129
PIOTROWSKI Marek,1,109,564,59291,1725,11.011,5.449,16.4697
PIOTROWSKI Marek,1,110,572,59864,1725,10.857,5.527,16.6288
PIOTROWSKI Marek,1,111,565,60430,1725,10.991,5.459,16.786
PIOTROWSKI Marek,1,112,563,60993,1725,11.03,5.44,16.9425
PIOTROWSKI Marek,1,113,738,61731,1725,8.415,7.13,17.1476
PIOTROWSKI Marek,1,114,591,62323,1725,10.508,5.71,17.3119
PIOTROWSKI Marek,1,115,580,62904,1725,10.707,5.604,17.4732
PIOTROWSKI Marek,1,116,573,63477,1725,10.838,5.536,17.6326
PIOTROWSKI Marek,1,117,572,64050,1725,10.857,5.527,17.7917
