zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
VACE-VECVAGARE Sigita,7,1,620,621,1725,10.016,5.99,0.1725
VACE-VECVAGARE Sigita,7,2,614,1235,1725,10.114,5.932,0.3431
VACE-VECVAGARE Sigita,7,3,618,1853,1725,10.049,5.971,0.5148
VACE-VECVAGARE Sigita,7,4,621,2475,1725,10.0,6.0,0.6875
VACE-VECVAGARE Sigita,7,5,609,3084,1725,10.197,5.884,0.8568
VACE-VECVAGARE Sigita,7,6,677,3762,1725,9.173,6.541,1.0449
VACE-VECVAGARE Sigita,7,7,589,4351,1725,10.543,5.691,1.2087
VACE-VECVAGARE Sigita,7,8,609,4960,1725,10.197,5.884,1.3779
VACE-VECVAGARE Sigita,7,9,602,5563,1725,10.316,5.816,1.5454
VACE-VECVAGARE Sigita,7,10,601,6165,1725,10.333,5.807,1.7125
VACE-VECVAGARE Sigita,7,11,593,6759,1725,10.472,5.729,1.8774
VACE-VECVAGARE Sigita,7,12,602,7361,1725,10.316,5.816,2.0448
VACE-VECVAGARE Sigita,7,13,603,7964,1725,10.299,5.826,2.2123
VACE-VECVAGARE Sigita,7,14,605,8570,1725,10.264,5.845,2.3805
VACE-VECVAGARE Sigita,7,15,600,9171,1725,10.35,5.797,2.5475
VACE-VECVAGARE Sigita,7,16,602,9773,1725,10.316,5.816,2.7148
VACE-VECVAGARE Sigita,7,17,586,10360,1725,10.597,5.662,2.8777
VACE-VECVAGARE Sigita,7,18,590,10950,1725,10.525,5.7,3.0417
VACE-VECVAGARE Sigita,7,19,593,11544,1725,10.472,5.729,3.2066
VACE-VECVAGARE Sigita,7,20,609,12154,1725,10.197,5.884,3.376
VACE-VECVAGARE Sigita,7,21,596,12750,1725,10.419,5.758,3.5417
VACE-VECVAGARE Sigita,7,22,599,13350,1725,10.367,5.787,3.7083
VACE-VECVAGARE Sigita,7,23,590,13941,1725,10.525,5.7,3.8725
VACE-VECVAGARE Sigita,7,24,664,14605,1725,9.352,6.415,4.0571
VACE-VECVAGARE Sigita,7,25,584,15190,1725,10.634,5.643,4.2194
VACE-VECVAGARE Sigita,7,26,594,15785,1725,10.455,5.739,4.3846
VACE-VECVAGARE Sigita,7,27,594,16379,1725,10.455,5.739,4.5497
VACE-VECVAGARE Sigita,7,28,600,16979,1725,10.35,5.797,4.7165
VACE-VECVAGARE Sigita,7,29,595,17575,1725,10.437,5.749,4.8818
VACE-VECVAGARE Sigita,7,30,573,18148,1725,10.838,5.536,5.0411
VACE-VECVAGARE Sigita,7,31,576,18724,1725,10.781,5.565,5.2012
VACE-VECVAGARE Sigita,7,32,591,19316,1725,10.508,5.71,5.3656
VACE-VECVAGARE Sigita,7,33,597,19913,1725,10.402,5.768,5.5315
VACE-VECVAGARE Sigita,7,34,590,20504,1725,10.525,5.7,5.6955
VACE-VECVAGARE Sigita,7,35,571,21075,1725,10.876,5.517,5.8543
VACE-VECVAGARE Sigita,7,36,601,21676,1725,10.333,5.807,6.0212
VACE-VECVAGARE Sigita,7,37,604,22281,1725,10.281,5.836,6.1893
VACE-VECVAGARE Sigita,7,38,604,22886,1725,10.281,5.836,6.3572
VACE-VECVAGARE Sigita,7,39,610,23497,1725,10.18,5.894,6.5269
VACE-VECVAGARE Sigita,7,40,605,24103,1725,10.264,5.845,6.6952
VACE-VECVAGARE Sigita,7,41,595,24698,1725,10.437,5.749,6.8605
VACE-VECVAGARE Sigita,7,42,601,25299,1725,10.333,5.807,7.0275
VACE-VECVAGARE Sigita,7,43,599,25898,1725,10.367,5.787,7.194
VACE-VECVAGARE Sigita,7,44,685,26584,1725,9.066,6.618,7.3845
VACE-VECVAGARE Sigita,7,45,608,27193,1725,10.214,5.874,7.5536
VACE-VECVAGARE Sigita,7,46,603,27796,1725,10.299,5.826,7.7212
VACE-VECVAGARE Sigita,7,47,606,28402,1725,10.248,5.855,7.8896
VACE-VECVAGARE Sigita,7,48,609,29012,1725,10.197,5.884,8.0588
VACE-VECVAGARE Sigita,7,49,613,29625,1725,10.131,5.923,8.2293
VACE-VECVAGARE Sigita,7,50,684,30310,1725,9.079,6.609,8.4195
VACE-VECVAGARE Sigita,7,51,597,30908,1725,10.402,5.768,8.5856
VACE-VECVAGARE Sigita,7,52,619,31528,1725,10.032,5.981,8.7577
VACE-VECVAGARE Sigita,7,53,622,32151,1725,9.984,6.01,8.9307
VACE-VECVAGARE Sigita,7,54,611,32762,1725,10.164,5.903,9.1006
VACE-VECVAGARE Sigita,7,55,603,33366,1725,10.299,5.826,9.2682
VACE-VECVAGARE Sigita,7,56,614,33980,1725,10.114,5.932,9.4388
VACE-VECVAGARE Sigita,7,57,621,34601,1725,10.0,6.0,9.6113
VACE-VECVAGARE Sigita,7,58,625,35226,1725,9.936,6.039,9.785
VACE-VECVAGARE Sigita,7,59,627,35853,1725,9.904,6.058,9.9593
VACE-VECVAGARE Sigita,7,60,610,36464,1725,10.18,5.894,10.1288
VACE-VECVAGARE Sigita,7,61,651,37115,1725,9.539,6.29,10.3097
VACE-VECVAGARE Sigita,7,62,650,37765,1725,9.554,6.28,10.4903
VACE-VECVAGARE Sigita,7,63,639,38404,1725,9.718,6.174,10.6679
VACE-VECVAGARE Sigita,7,64,737,39142,1725,8.426,7.121,10.8728
VACE-VECVAGARE Sigita,7,65,624,39767,1725,9.952,6.029,11.0464
VACE-VECVAGARE Sigita,7,66,596,40363,1725,10.419,5.758,11.2121
VACE-VECVAGARE Sigita,7,67,602,40966,1725,10.316,5.816,11.3794
VACE-VECVAGARE Sigita,7,68,604,41570,1725,10.281,5.836,11.5472
VACE-VECVAGARE Sigita,7,69,626,42197,1725,9.92,6.048,11.7213
VACE-VECVAGARE Sigita,7,70,628,42825,1725,9.889,6.068,11.8959
VACE-VECVAGARE Sigita,7,71,703,43528,1725,8.834,6.792,12.0912
VACE-VECVAGARE Sigita,7,72,756,44285,1725,8.214,7.304,12.3015
VACE-VECVAGARE Sigita,7,73,644,44930,1725,9.643,6.222,12.4805
VACE-VECVAGARE Sigita,7,74,651,45581,1725,9.539,6.29,12.6615
VACE-VECVAGARE Sigita,7,75,662,46244,1725,9.381,6.396,12.8455
VACE-VECVAGARE Sigita,7,76,656,46900,1725,9.466,6.338,13.0278
VACE-VECVAGARE Sigita,7,77,655,47555,1725,9.481,6.329,13.2098
VACE-VECVAGARE Sigita,7,78,679,48234,1725,9.146,6.56,13.3984
VACE-VECVAGARE Sigita,7,79,749,48983,1725,8.291,7.237,13.6065
VACE-VECVAGARE Sigita,7,80,678,49662,1725,9.159,6.551,13.7949
VACE-VECVAGARE Sigita,7,81,673,50335,1725,9.227,6.502,13.982
VACE-VECVAGARE Sigita,7,82,737,51073,1725,8.426,7.121,14.1869
VACE-VECVAGARE Sigita,7,83,670,51743,1725,9.269,6.473,14.3732
