zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
WOŚ Rafal,3,1,544,544,1725,11.415,5.256,0.1512
WOŚ Rafal,3,2,533,1077,1725,11.651,5.15,0.2993
WOŚ Rafal,3,3,538,1616,1725,11.543,5.198,0.4489
WOŚ Rafal,3,4,560,2176,1725,11.089,5.411,0.6045
WOŚ Rafal,3,5,533,2710,1725,11.651,5.15,0.7526
WOŚ Rafal,3,6,539,3249,1725,11.521,5.208,0.9024
WOŚ Rafal,3,7,530,3780,1725,11.717,5.121,1.0499
WOŚ Rafal,3,8,533,4313,1725,11.651,5.15,1.1981
WOŚ Rafal,3,9,533,4847,1725,11.651,5.15,1.3463
WOŚ Rafal,3,10,537,5384,1725,11.564,5.188,1.4955
WOŚ Rafal,3,11,537,5921,1725,11.564,5.188,1.6447
WOŚ Rafal,3,12,536,6458,1725,11.586,5.179,1.7939
WOŚ Rafal,3,13,530,6989,1725,11.717,5.121,1.9413
WOŚ Rafal,3,14,536,7525,1725,11.586,5.179,2.0904
WOŚ Rafal,3,15,537,8063,1725,11.564,5.188,2.2398
WOŚ Rafal,3,16,537,8601,1725,11.564,5.188,2.3891
WOŚ Rafal,3,17,534,9135,1725,11.629,5.159,2.5376
WOŚ Rafal,3,18,534,9670,1725,11.629,5.159,2.6861
WOŚ Rafal,3,19,537,10207,1725,11.564,5.188,2.8353
WOŚ Rafal,3,20,536,10743,1725,11.586,5.179,2.9842
WOŚ Rafal,3,21,524,11268,1725,11.851,5.063,3.13
WOŚ Rafal,3,22,534,11803,1725,11.629,5.159,3.2785
WOŚ Rafal,3,23,538,12341,1725,11.543,5.198,3.428
WOŚ Rafal,3,24,536,12878,1725,11.586,5.179,3.5771
WOŚ Rafal,3,25,533,13411,1725,11.651,5.15,3.7252
WOŚ Rafal,3,26,537,13948,1725,11.564,5.188,3.8745
WOŚ Rafal,3,27,597,14546,1725,10.402,5.768,4.0405
WOŚ Rafal,3,28,553,15099,1725,11.23,5.343,4.1943
WOŚ Rafal,3,29,555,15655,1725,11.189,5.362,4.3485
WOŚ Rafal,3,30,542,16198,1725,11.458,5.237,4.4993
WOŚ Rafal,3,31,546,16744,1725,11.374,5.275,4.651
WOŚ Rafal,3,32,542,17286,1725,11.458,5.237,4.8017
WOŚ Rafal,3,33,540,17827,1725,11.5,5.217,4.9519
WOŚ Rafal,3,34,541,18369,1725,11.479,5.227,5.1024
